The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
-0.546 -0.069 176.682
-0.550 0.000 183.318
-0.546 0.069 190.823
-0.533 0.137 198.435
-0.511 0.203 205.067
-0.482 0.265 212.535
-0.445 0.323 219.174
-0.401 0.377 226.771
-0.351 0.424 234.462
-0.295 0.464 240.866
-0.234 0.498 248.663
-0.170 0.523 255.763
-0.103 0.540 262.461
-0.035 0.549 270.000
0.035 0.549 277.539
0.103 0.540 284.237
0.170 0.523 291.337
0.234 0.498 299.134
0.295 0.464 305.538
0.351 0.424 313.229
0.401 0.377 320.826
0.445 0.323 327.465
0.482 0.265 334.933
0.511 0.203 341.565
0.533 0.137 349.177
0.546 0.069 356.682
0.550 0.000 363.318
0.546 -0.069 370.823
0.533 -0.137 378.435
0.511 -0.203 385.067
0.482 -0.265 392.535
0.445 -0.323 399.174
0.401 -0.377 406.771
0.351 -0.424 414.462
0.295 -0.464 420.866
0.234 -0.498 428.663
0.170 -0.523 435.763
0.103 -0.540 442.461
0.035 -0.549 442.461
Layer: 20
5.739
51
0.032 -0.503 262.648
0.094 -0.495 256.399
0.156 -0.480 247.865
0.215 -0.456 241.390
0.270 -0.426 234.039
0.321 -0.389 226.888
0.368 -0.345 219.226
0.408 -0.296 212.681
0.442 -0.243 205.346
0.469 -0.186 197.301
0.488 -0.125 190.954
0.500 -0.063 183.633
0.504 0.000 176.367
0.500 0.063 169.046
0.488 0.125 162.699
0.469 0.186 154.654
0.442 0.243 147.319
0.408 0.296 140.774
0.368 0.345 133.112
0.321 0.389 125.961
0.270 0.426 118.610
0.215 0.456 112.135
0.156 0.480 103.601
0.094 0.495 97.352
0.032 0.503 90.000
-0.032 0.503 82.648
-0.094 0.495 76.399
-0.156 0.480 67.865
-0.215 0.456 61.390
-0.270 0.426 54.039
-0.321 0.389 46.888
-0.368 0.345 39.226
-0.408 0.296 32.681
-0.442 0.243 25.346
-0.469 0.186 17.301
-0.488 0.125 10.954
-0.500 0.063 3.633
-0.504 0.000 -3.633
-0.500 -0.063 -10.954
-0.488 -0.125 -17.301
-0.469 -0.186 -25.346
-0.442 -0.243 -32.681
-0.408 -0.296 -39.226
-0.368 -0.345 -46.888
-0.321 -0.389 -54.039
-0.270 -0.426 -61.390
-0.215 -0.456 -67.865
-0.156 -0.480 -76.399
-0.094 -0.495 -82.648
-0.032 -0.503 -90.000
0.032 -0.503 -90.000
Layer: 21
6.339
51
0.419 0.394 320.599
0.465 0.338 327.407
0.504 0.277 334.502
0.535 0.212 342.316
0.557 0.143 349.624
0.570 0.072 356.028
0.575 0.000 363.972
0.570 -0.072 370.376
0.557 -0.143 377.684
0.535 -0.212 385.498
0.504 -0.277 392.593
0.465 -0.338 399.401
